5;1;10;37
3;2;1;13
1;3;32;28
1;4;8;47
2;5;7;29
4;6;33;34
2;7;27;35
3;8;40;32
2;9;50;15
5;10;20;6
5;11;19;3
4;12;24;16
5;13;26;45
4;14;3;26
1;15;16;24
1;16;46;10
3;17;45;46
2;18;12;9
3;19;23;20
4;20;18;43
2;21;41;38
4;22;21;50
5;23;29;41
3;24;13;12
3;25;30;27
3;26;6;25
3;27;2;5
3;28;47;21
1;29;39;2
2;30;28;36
4;31;22;31
2;32;9;44
2;33;37;4
3;34;48;23
1;35;11;18
3;36;49;17
2;37;36;7
2;38;5;30
2;39;25;40
5;40;35;11
1;41;38;39
2;42;44;1
1;43;17;8
1;44;42;14
5;45;4;49
3;46;31;48
1;47;43;42
2;48;34;19
1;49;14;22
4;50;15;33
