1;5;1;10
2;3;2;1
3;1;3;32
51;2;4;32
4;1;4;8
5;2;5;7
6;4;6;33
7;2;7;27
8;3;8;40
9;2;9;50
10;5;10;20
11;5;11;19
12;4;12;24
13;5;13;26
14;4;14;3
15;1;15;16
16;1;16;46
17;3;17;45
18;2;18;12
19;3;19;23
20;4;20;18
21;2;21;41
22;4;22;21
23;5;23;29
24;3;24;13
25;3;25;30
26;3;26;6
27;3;27;2
28;3;28;47
29;1;29;39
30;2;30;28
31;4;31;22
32;2;32;9
33;2;33;37
34;3;34;48
35;1;35;11
36;3;36;49
37;2;37;36
38;2;38;5
39;2;39;25
40;5;40;35
41;1;41;38
42;2;42;44
43;1;43;17
44;1;44;42
45;5;45;4
46;3;46;31
47;1;47;43
48;2;48;34
49;1;49;14
50;4;50;15
